Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active,Serious Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,
USA,"1,578,288","+7,705","93,937 ",+404,"364,683","1,119,668","17,249","4,771",284,"12,791,445","38,671",
Russia,"308,705","+8,764","2,972 ",+135,"85,392","220,341","2,300","2,115",20,"7,578,029","51,930",
Spain,"279,524",+721,"27,888 ",+110,"196,958","54,678","1,152","5,979",596,"3,037,840","64,977",
Brazil,"275,382","+3,497","18,130 ",+147,"106,794","150,458","8,318","1,297",85,"735,224","3,462",
UK,"248,818",,"35,704 ",+363,N/A,N/A,"1,559","3,667",526,"2,962,227","43,662",
Italy,"227,364",+665,"32,330 ",+161,"132,282","62,752",676,"3,760",535,"3,171,719","52,450",
France,"180,809",,"28,022 ",,"62,563","90,224","1,894","2,771",429,"1,384,633","21,218",
Germany,"178,170",+343,"8,213 ",+20,"156,900","13,057","1,115","2,127",98,"3,595,059","42,924",
Turkey,"152,587",+972,"4,222 ",+23,"113,987","34,378",877,"1,811",50,"1,696,355","20,139",
Iran,"126,949","+2,346","7,183 ",+64,"98,808","20,958","2,735","1,514",86,"731,213","8,719",
India,"111,750","+5,275","3,434 ",+132,"45,422","62,894",,81,2,"2,512,388","1,823",
Peru,"99,483",,"2,914 ",,"36,524","60,045",883,"3,022",89,"679,582","20,645",
Canada,"80,081",+969,"6,027 ",+115,"40,670","33,384",502,"2,124",160,"1,339,971","35,540",
Saudi Arabia,"62,545","+2,691",339 ,+10,"33,478","28,728",251,"1,800",10,"618,084","17,787",
Belgium,"55,983",+192,"9,150 ",+42,"14,847","31,986",313,"4,833",790,"720,228","62,175",
Mexico,"54,346","+2,713","5,666 ",+334,"37,325","11,355",378,422,44,"185,755","1,442",
Chile,"53,617","+4,038",544 ,+35,"22,504","30,569",904,"2,808",28,"409,669","21,452",
Pakistan,"45,898","+1,932",985 ,+46,"13,101","31,812",111,208,4,"414,254","1,880",
Netherlands,"44,447",+198,"5,748 ",+33,N/A,N/A,275,"2,595",336,"302,395","17,652",
Qatar,"37,097","+1,491",16 ,+1,"6,600","30,481",172,"12,902",6,"170,437","59,279",
Ecuador,"34,151",,"2,839 ",,"3,457","27,855",221,"1,939",161,"98,171","5,574",
Belarus,"32,426",+918,179 ,+4,"11,415","20,832",92,"3,431",19,"387,673","41,025",
Sweden,"31,523",+724,"3,831 ",+88,"4,971","22,721",352,"3,124",380,"209,900","20,799",
Switzerland,"30,658",+40,"1,892 ",+1,"27,800",966,55,"3,545",219,"355,393","41,099",
Portugal,"29,660",+228,"1,263 ",+16,"6,452","21,945",93,"2,908",124,"674,000","66,079",
Singapore,"29,364",+570,22 ,,"11,207","18,135",11,"5,024",4,"294,414","50,370",
Bangladesh,"26,738","+1,617",386 ,+16,"5,207","21,145",1,163,2,"203,852","1,239",
UAE,"26,004",+941,233 ,+6,"11,809","13,962",1,"2,633",24,"1,600,923","162,098",
Ireland,"24,315",+64,"1,571 ",+10,"19,470","3,274",54,"4,931",319,"295,626","59,949",
Poland,"19,739",+471,962 ,+14,"8,183","10,594",160,521,25,"674,861","17,829",
Ukraine,"19,230",+354,564 ,+16,"5,955","12,711",245,439,13,"248,529","5,679",
